Date (dd-mmm-yyyy), sleep_midpoint, sleep_onset, sleep_offset, Existence_of_Time_Zone_Information 
11-Sep-2020, 2.208333, 21.883333, 6.533333, 1.000000
12-Sep-2020, 2.208333, 22.433333, 5.983333, 1.000000
13-Sep-2020, 1.375000, 22.083333, 4.666667, 1.000000
14-Sep-2020, 1.233333, 21.950000, 4.516667, 1.000000
15-Sep-2020, 1.408333, 21.783333, 5.033333, 1.000000
16-Sep-2020, 1.325000, 21.933333, 4.716667, 1.000000
17-Sep-2020, 1.583333, 22.266667, 4.900000, 1.000000
18-Sep-2020, 2.133333, 22.166667, 6.100000, 1.000000
19-Sep-2020, 2.391667, 21.933333, 6.850000, 1.000000
20-Sep-2020, 0.991667, 21.250000, 4.733333, 1.000000
21-Sep-2020, 0.750000, 21.016667, 4.483333, 1.000000
22-Sep-2020, 1.091667, 21.616667, 4.566667, 1.000000
23-Sep-2020, 1.416667, 22.166667, 4.666667, 1.000000
24-Sep-2020, 1.783333, 22.766667, 4.800000, 1.000000
25-Sep-2020, 1.958333, 21.516667, 6.400000, 1.000000
27-Sep-2020, 0.633333, 20.750000, 4.516667, 1.000000
28-Sep-2020, 1.716667, 22.150000, 5.283333, 1.000000
29-Sep-2020, 1.675000, 22.633333, 4.716667, 1.000000
30-Sep-2020, 1.025000, 21.250000, 4.800000, 1.000000
01-Oct-2020, 1.150000, 21.566667, 4.733333, 1.000000
02-Oct-2020, 2.608333, 22.783333, 6.433333, 1.000000
03-Oct-2020, 2.166667, 21.800000, 6.533333, 1.000000
04-Oct-2020, 1.625000, 21.733333, 5.516667, 1.000000
05-Oct-2020, 1.633333, 21.483333, 5.783333, 1.000000
06-Oct-2020, 1.741667, 22.000000, 5.483333, 1.000000
07-Oct-2020, 1.283333, 21.766667, 4.800000, 1.000000
08-Oct-2020, 0.383333, 20.133333, 4.633333, 1.000000
12-Oct-2020, 1.275000, 20.500000, 6.050000, 1.000000
13-Oct-2020, 1.975000, 21.983333, 5.966667, 1.000000
14-Oct-2020, 1.125000, 20.933333, 5.316667, 1.000000
15-Oct-2020, 1.933333, 21.816667, 6.050000, 1.000000
16-Oct-2020, 1.891667, 21.216667, 6.566667, 1.000000
17-Oct-2020, 2.816667, 22.850000, 6.783333, 1.000000
18-Oct-2020, 2.125000, 21.600000, 6.650000, 1.000000
19-Oct-2020, 1.891667, 21.050000, 6.733333, 1.000000
21-Oct-2020, 1.050000, 21.500000, 4.600000, 1.000000
22-Oct-2020, 1.775000, 22.266667, 5.283333, 1.000000
23-Oct-2020, 2.183333, 21.533333, 6.833333, 1.000000
24-Oct-2020, 2.741667, 22.250000, 7.233333, 1.000000
25-Oct-2020, 0.758333, 20.900000, 4.616667, 1.000000
26-Oct-2020, 1.666667, 21.583333, 5.750000, 1.000000
27-Oct-2020, 1.150000, 21.650000, 4.650000, 1.000000
28-Oct-2020, 1.325000, 22.066667, 4.583333, 1.000000
29-Oct-2020, 1.225000, 21.766667, 4.683333, 1.000000
30-Oct-2020, 2.458333, 22.200000, 6.716667, 1.000000
31-Oct-2020, 23.425000, 22.116667, 0.733333, 1.000000
01-Nov-2020, 4.475000, 1.716667, 7.233333, 1.000000
02-Nov-2020, 1.958333, 22.266667, 5.650000, 1.000000
03-Nov-2020, 2.208333, 22.983333, 5.433333, 1.000000
04-Nov-2020, 1.733333, 21.900000, 5.566667, 1.000000
05-Nov-2020, 2.250000, 22.933333, 5.566667, 1.000000
06-Nov-2020, 2.400000, 21.733333, 7.066667, 1.000000
07-Nov-2020, 2.825000, 22.750000, 6.900000, 1.000000
08-Nov-2020, 2.141667, 22.733333, 5.550000, 1.000000
09-Nov-2020, 1.708333, 21.950000, 5.466667, 1.000000
10-Nov-2020, 2.366667, 23.150000, 5.583333, 1.000000
11-Nov-2020, 1.841667, 21.983333, 5.700000, 1.000000
12-Nov-2020, 1.600000, 21.800000, 5.400000, 1.000000
13-Nov-2020, 2.683333, 22.300000, 7.066667, 1.000000
14-Nov-2020, 3.058333, 23.033333, 7.083333, 1.000000
15-Nov-2020, 2.266667, 22.916667, 5.616667, 1.000000
16-Nov-2020, 2.125000, 22.650000, 5.600000, 1.000000
17-Nov-2020, 2.375000, 23.016667, 5.733333, 1.000000
18-Nov-2020, 2.133333, 22.600000, 5.666667, 1.000000
19-Nov-2020, 3.191667, 23.583333, 6.800000, 1.000000
20-Nov-2020, 2.891667, 22.366667, 7.416667, 1.000000
21-Nov-2020, 3.216667, 23.316667, 7.116667, 1.000000
22-Nov-2020, 2.075000, 22.500000, 5.650000, 1.000000
23-Nov-2020, 2.100000, 22.333333, 5.866667, 1.000000
25-Nov-2020, 3.016667, 22.483333, 7.550000, 1.000000
26-Nov-2020, 3.441667, 23.183333, 7.700000, 1.000000
27-Nov-2020, 3.550000, 23.750000, 7.350000, 1.000000
